Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
490	0	53.70466	50.55005	3.154607	0.006174969
491	1	53.70438	50.53027	3.174112	0.006055689
492	0	53.68094	50.53909	3.141848	0.006254255
493	1	52.94642	49.89864	3.04778	0.006871144
494	0	53.01796	49.74687	3.271087	0.005496018
495	1	53.37184	50.2846	3.087237	0.00660531
496	0	53.6886	50.54358	3.145029	0.006234397
497	1	53.70556	50.53252	3.173036	0.00606221
498	0	52.81167	49.77395	3.037713	0.006940664
499	1	53.35853	50.27282	3.085717	0.006615356
500	0	53.52724	50.3076	3.219642	0.00578616
501	1	53.46557	50.36667	3.098897	0.006528739
502	0	52.84102	49.80118	3.03984	0.006925915
503	1	52.03816	48.70948	3.328676	0.005188447
504	0	53.08833	50.02898	3.059357	0.006792058
505	1	53.63121	50.43047	3.200746	0.00589653
506	0	52.70576	49.67546	3.0303	0.006992304
507	1	53.66699	50.53	3.136988	0.006284729
508	0	50.72113	47.79176	2.929368	0.007734903
509	1	53.60184	50.39488	3.206962	0.005859996
510	0	53.19203	49.93513	3.256903	0.005574526
511	1	53.58575	50.46796	3.117794	0.006406524
512	0	53.65495	50.52156	3.133395	0.006307348
513	1	53.7044	50.53031	3.174092	0.006055815
514	0	53.71004	50.54492	3.165123	0.006110374
515	1	53.21458	49.95969	3.254895	0.005585734
516	0	53.14364	50.07943	3.064211	0.006759169
517	1	52.87106	49.82901	3.042054	0.006910601
518	0	53.17767	49.91951	3.258159	0.005567532
519	1	53.49262	50.26801	3.224609	0.005757491
520	0	53.70577	50.55012	3.155648	0.006168542
521	1	53.70515	50.5501	3.155055	0.006172204
522	0	53.60399	50.48262	3.121361	0.006383713
523	1	53.59767	50.3899	3.20777	0.005855263
524	0	53.57815	50.36678	3.21137	0.005834222
525	1	53.42367	50.19025	3.233417	0.005707002
526	0	53.69938	50.54868	3.150693	0.006199184
527	1	53.41618	50.32365	3.092524	0.006570476
528	0	53.14557	50.08118	3.064383	0.006758001
529	1	53.44337	50.34741	3.095962	0.00654793
530	0	51.94927	48.6164	3.332869	0.005166738
531	1	53.63721	50.50846	3.128747	0.006336731
532	0	53.53775	50.42827	3.10948	0.006460005
533	1	53.67594	50.53594	3.139995	0.006265857
534	0	53.66652	50.4751	3.191417	0.005951797
535	1	53.63345	50.43322	3.200229	0.005899581
536	0	53.61545	50.49169	3.123761	0.00636841
537	1	52.73929	49.70668	3.032605	0.006976207
538	0	52.6653	49.37032	3.29498	0.005366255
539	1	53.70274	50.54971	3.153027	0.006184734
540	0	53.62936	50.50249	3.126874	0.006348612
541	1	53.11753	49.8543	3.263235	0.00553934
542	0	52.798	49.76127	3.036734	0.006947464
543	1	53.58675	50.37693	3.209819	0.005843274
544	0	53.47082	50.24329	3.227531	0.005740693
545	1	53.65928	50.52464	3.134638	0.006299516
546	0	53.00554	49.73351	3.272024	0.00549087
547	1	53.71008	50.54572	3.164367	0.006114993
548	0	51.46557	48.11163	3.353938	0.00505902
549	1	53.67744	50.48966	3.187782	0.005973474
550	0	53.52948	50.31017	3.219306	0.005788105
